lon,lat,name,fix,mov,obs_ve,obs_vn,obs_ee,obs_en,pred_ve,pred_vn,cen,resid_e,resid_n
166.228,-50.517,5507,1111,c024,-22.911,50.962,0.777,0.964,-23.521,52.034,0.0,0.61,-1.072
166.84,-11.69,VNKR,1111,c024,-126.663,1.215,32.672,74.617,-58.823,52.274,0.0,-67.84,-51.059
166.636,-13.327,TORS,1111,c024,-20.128,18.181,7.413,7.259,-57.76,52.195,0.0,37.632,-34.014
-123.68,38.89,0114,1111,c024,-23.867,36.182,6.2,3.7,-24.494,39.169,0.0,0.627,-2.987
-123.401,38.653,0413,1111,c024,-20.396,34.895,3.4,2.4,-24.676,38.969,0.0,4.28,-4.074
-169.925,-19.082,NIUE,1111,c024,-59.718,57.039,0.997,1.096,-61.177,56.812,0.0,1.459,0.227
-172.016,-13.831,WSAM,1111,c024,-63.597,57.732,0.499,0.464,-62.345,56.78,0.0,-1.252,0.952
160.154,-9.525,GCLC,1111,c024,-33.218,55.262,1.556,0.945,-59.117,49.328,0.0,25.899,5.934
156.866,-8.1,GIZO,1111,c024,-40.535,47.727,0.951,0.799,-59.664,47.631,0.0,19.129,0.096
157.27,-8.327,MUND,1111,c024,-41.478,52.027,0.967,0.538,-59.555,47.848,0.0,18.077,4.179
156.866,-8.101,NUSA,1111,c024,-43.089,48.86,0.192,0.138,-59.664,47.631,0.0,16.575,1.229
157.407,-8.721,RAVA,1111,c024,-25.953,59.862,1.274,1.071,-59.298,47.921,0.0,33.345,11.941
156.518,-8.269,SIMB,1111,c024,-20.076,62.068,0.786,0.584,-59.505,47.442,0.0,39.429,14.626
156.68,-7.931,VELA,1111,c024,-44.987,51.212,1.064,0.564,-59.76,47.53,0.0,14.773,3.682
-123.559,38.788,01AE,1111,c024,-23.097,36.201,1.195,1.386,-24.572,39.082,0.0,1.475,-2.881
-122.359,37.228,HALM,1111,c024,-26.375,36.025,0.734,0.712,-26.051,38.212,0.0,-0.324,-2.187
-122.869,38.08,PRH2,1111,c024,-24.361,35.166,0.537,0.546,-25.179,38.584,0.0,0.818,-3.418
-122.504,37.509,WHAL,1111,c024,-26.049,37.332,0.764,0.798,-25.754,38.318,0.0,-0.295,-0.986
-121.284,35.665,BLAN,1111,c024,-29.379,38.527,0.48,0.45,-27.61,37.418,0.0,-1.769,1.109
-118.27,29.026,GAIR,1111,c024,-36.609,37.408,0.43,0.42,-34.88,35.135,0.0,-1.729,2.273
-120.682,34.469,HARV,1111,c024,-22.186,41.683,2.63,2.81,-28.896,36.97,0.0,6.71,4.713
